order_id,order_date,month,region,product,quantity,unit_price,revenue
1039,2024-02-15,2024-02,West,Mechanical Keyboard,71,90.0,6390.0
1040,2024-03-15,2024-03,North,Laptop Pro 14,21,1200.0,25200.0
1041,2024-03-15,2024-03,North,Wireless Mouse,131,25.0,3275.0
1042,2024-03-15,2024-03,North,4K Monitor 27in,30,350.0,10500.0
1043,2024-03-15,2024-03,North,Ergo Office Chair,22,180.0,3960.0
1044,2024-03-15,2024-03,North,Mechanical Keyboard,52,90.0,4680.0
1045,2024-03-15,2024-03,South,Laptop Pro 14,14,1200.0,16800.0
1046,2024-03-15,2024-03,South,Wireless Mouse,108,25.0,2700.0
1047,2024-03-15,2024-03,South,4K Monitor 27in,25,350.0,8750.0
1048,2024-03-15,2024-03,South,Ergo Office Chair,20,180.0,3600.0
1049,2024-03-15,2024-03,South,Mechanical Keyboard,46,90.0,4140.0
1050,2024-03-15,2024-03,East,Laptop Pro 14,17,1200.0,20400.0
1051,2024-03-15,2024-03,East,Wireless Mouse,125,25.0,3125.0
1052,2024-03-15,2024-03,East,4K Monitor 27in,27,350.0,9450.0
1053,2024-03-15,2024-03,East,Ergo Office Chair,24,180.0,4320.0
1054,2024-03-15,2024-03,East,Mechanical Keyboard,56,90.0,5040.0
1055,2024-03-15,2024-03,West,Laptop Pro 14,24,1200.0,28800.0
1056,2024-03-15,2024-03,West,Wireless Mouse,162,25.0,4050.0
1057,2024-03-15,2024-03,West,4K Monitor 27in,41,350.0,14350.0
1058,2024-03-15,2024-03,West,Ergo Office Chair,25,180.0,4500.0
1059,2024-03-15,2024-03,West,Mechanical Keyboard,68,90.0,6120.0
1060,2024-04-15,2024-04,North,Laptop Pro 14,23,1200.0,27600.0
1061,2024-04-15,2024-04,North,Wireless Mouse,160,25.0,4000.0
1062,2024-04-15,2024-04,North,4K Monitor 27in,33,350.0,11550.0
1063,2024-04-15,2024-04,North,Ergo Office Chair,25,180.0,4500.0
1064,2024-04-15,2024-04,North,Mechanical Keyboard,67,90.0,6030.0
1065,2024-04-15,2024-04,South,Laptop Pro 14,17,1200.0,20400.0
1066,2024-04-15,2024-04,South,Wireless Mouse,114,25.0,2850.0
1067,2024-04-15,2024-04,South,4K Monitor 27in,23,350.0,8050.0
1068,2024-04-15,2024-04,South,Ergo Office Chair,18,180.0,3240.0
1069,2024-04-15,2024-04,South,Mechanical Keyboard,45,90.0,4050.0
1070,2024-04-15,2024-04,East,Laptop Pro 14,16,1200.0,19200.0
1071,2024-04-15,2024-04,East,Wireless Mouse,157,25.0,3925.0
1072,2024-04-15,2024-04,East,4K Monitor 27in,33,350.0,11550.0
1073,2024-04-15,2024-04,East,Ergo Office Chair,21,180.0,3780.0
1074,2024-04-15,2024-04,East,Mechanical Keyboard,57,90.0,5130.0
1075,2024-04-15,2024-04,West,Laptop Pro 14,23,1200.0,27600.0
1076,2024-04-15,2024-04,West,Wireless Mouse,206,25.0,5150.0
1077,2024-04-15,2024-04,West,4K Monitor 27in,39,350.0,13650.0
1078,2024-04-15,2024-04,West,Ergo Office Chair,27,180.0,4860.0
1079,2024-04-15,2024-04,West,Mechanical Keyboard,66,90.0,5940.0
1080,2024-05-15,2024-05,North,Laptop Pro 14,20,1200.0,24000.0
1081,2024-05-15,2024-05,North,Wireless Mouse,145,25.0,3625.0
1082,2024-05-15,2024-05,North,4K Monitor 27in,34,350.0,11900.0
1083,2024-05-15,2024-05,North,Ergo Office Chair,27,180.0,4860.0
1084,2024-05-15,2024-05,North,Mechanical Keyboard,59,90.0,5310.0
1085,2024-05-15,2024-05,South,Laptop Pro 14,15,1200.0,18000.0
1086,2024-05-15,2024-05,South,Wireless Mouse,145,25.0,3625.0
1087,2024-05-15,2024-05,South,4K Monitor 27in,27,350.0,9450.0
1088,2024-05-15,2024-05,South,Ergo Office Chair,17,180.0,3060.0
1089,2024-05-15,2024-05,South,Mechanical Keyboard,43,90.0,3870.0
1090,2024-05-15,2024-05,East,Laptop Pro 14,16,1200.0,19200.0
1091,2024-05-15,2024-05,East,Wireless Mouse,146,25.0,3650.0
1092,2024-05-15,2024-05,East,4K Monitor 27in,33,350.0,11550.0
1093,2024-05-15,2024-05,East,Ergo Office Chair,22,180.0,3960.0
1094,2024-05-15,2024-05,East,Mechanical Keyboard,48,90.0,4320.0
1095,2024-05-15,2024-05,West,Laptop Pro 14,23,1200.0,27600.0
1096,2024-05-15,2024-05,West,Wireless Mouse,213,25.0,5325.0
1097,2024-05-15,2024-05,West,4K Monitor 27in,40,350.0,14000.0
1098,2024-05-15,2024-05,West,Ergo Office Chair,33,180.0,5940.0
1099,2024-05-15,2024-05,West,Mechanical Keyboard,81,90.0,7290.0
1100,2024-06-15,2024-06,North,Laptop Pro 14,17,1200.0,20400.0
1101,2024-06-15,2024-06,North,Wireless Mouse,168,25.0,4200.0
1102,2024-06-15,2024-06,North,4K Monitor 27in,36,350.0,12600.0
1103,2024-06-15,2024-06,North,Ergo Office Chair,25,180.0,4500.0
1104,2024-06-15,2024-06,North,Mechanical Keyboard,58,90.0,5220.0
1105,2024-06-15,2024-06,South,Laptop Pro 14,17,1200.0,20400.0
1106,2024-06-15,2024-06,South,Wireless Mouse,113,25.0,2825.0
1107,2024-06-15,2024-06,South,4K Monitor 27in,27,350.0,9450.0
1108,2024-06-15,2024-06,South,Ergo Office Chair,20,180.0,3600.0
1109,2024-06-15,2024-06,South,Mechanical Keyboard,57,90.0,5130.0
1110,2024-06-15,2024-06,East,Laptop Pro 14,20,1200.0,24000.0
1111,2024-06-15,2024-06,East,Wireless Mouse,133,25.0,3325.0
1112,2024-06-15,2024-06,East,4K Monitor 27in,31,350.0,10850.0
1113,2024-06-15,2024-06,East,Ergo Office Chair,20,180.0,3600.0
1114,2024-06-15,2024-06,East,Mechanical Keyboard,63,90.0,5670.0
1115,2024-06-15,2024-06,West,Laptop Pro 14,27,1200.0,32400.0
1116,2024-06-15,2024-06,West,Wireless Mouse,177,25.0,4425.0
1117,2024-06-15,2024-06,West,4K Monitor 27in,42,350.0,14700.0
1118,2024-06-15,2024-06,West,Ergo Office Chair,31,180.0,5580.0
1119,2024-06-15,2024-06,West,Mechanical Keyboard,66,90.0,5940.0
1120,2024-07-15,2024-07,North,Laptop Pro 14,16,1200.0,19200.0
1121,2024-07-15,2024-07,North,Wireless Mouse,117,25.0,2925.0
1122,2024-07-15,2024-07,North,4K Monitor 27in,27,350.0,9450.0
1123,2024-07-15,2024-07,North,Ergo Office Chair,18,180.0,3240.0
1124,2024-07-15,2024-07,North,Mechanical Keyboard,39,90.0,3510.0
1125,2024-07-15,2024-07,South,Laptop Pro 14,11,1200.0,13200.0
1126,2024-07-15,2024-07,South,Wireless Mouse,80,25.0,2000.0
1127,2024-07-15,2024-07,South,4K Monitor 27in,23,350.0,8050.0
1128,2024-07-15,2024-07,South,Ergo Office Chair,16,180.0,2880.0
1129,2024-07-15,2024-07,South,Mechanical Keyboard,40,90.0,3600.0
1130,2024-07-15,2024-07,East,Laptop Pro 14,13,1200.0,15600.0
1131,2024-07-15,2024-07,East,Wireless Mouse,91,25.0,2275.0
1132,2024-07-15,2024-07,East,4K Monitor 27in,25,350.0,8750.0
1133,2024-07-15,2024-07,East,Ergo Office Chair,19,180.0,3420.0
1134,2024-07-15,2024-07,East,Mechanical Keyboard,36,90.0,3240.0
1135,2024-07-15,2024-07,West,Laptop Pro 14,14,1200.0,16800.0
1136,2024-07-15,2024-07,West,Wireless Mouse,93,25.0,2325.0
1137,2024-07-15,2024-07,West,4K Monitor 27in,25,350.0,8750.0
1138,2024-07-15,2024-07,West,Ergo Office Chair,18,180.0,3240.0
1139,2024-07-15,2024-07,West,Mechanical Keyboard,37,90.0,3330.0
1140,2024-08-15,2024-08,North,Laptop Pro 14,15,1200.0,18000.0
1141,2024-08-15,2024-08,North,Wireless Mouse,119,25.0,2975.0
1142,2024-08-15,2024-08,North,4K Monitor 27in,23,350.0,8050.0
1143,2024-08-15,2024-08,North,Ergo Office Chair,20,180.0,3600.0
1144,2024-08-15,2024-08,North,Mechanical Keyboard,45,90.0,4050.0
1145,2024-08-15,2024-08,South,Laptop Pro 14,11,1200.0,13200.0
1146,2024-08-15,2024-08,South,Wireless Mouse,96,25.0,2400.0
1147,2024-08-15,2024-08,South,4K Monitor 27in,22,350.0,7700.0
1148,2024-08-15,2024-08,South,Ergo Office Chair,14,180.0,2520.0
1149,2024-08-15,2024-08,South,Mechanical Keyboard,35,90.0,3150.0
1150,2024-08-15,2024-08,East,Laptop Pro 14,16,1200.0,19200.0
1151,2024-08-15,2024-08,East,Wireless Mouse,111,25.0,2775.0
1152,2024-08-15,2024-08,East,4K Monitor 27in,22,350.0,7700.0
1153,2024-08-15,2024-08,East,Ergo Office Chair,17,180.0,3060.0
1154,2024-08-15,2024-08,East,Mechanical Keyboard,37,90.0,3330.0
1155,2024-08-15,2024-08,West,Laptop Pro 14,13,1200.0,15600.0
1156,2024-08-15,2024-08,West,Wireless Mouse,103,25.0,2575.0
1157,2024-08-15,2024-08,West,4K Monitor 27in,24,350.0,8400.0
1158,2024-08-15,2024-08,West,Ergo Office Chair,16,180.0,2880.0
1159,2024-08-15,2024-08,West,Mechanical Keyboard,39,90.0,3510.0
1160,2024-09-15,2024-09,North,Laptop Pro 14,13,1200.0,15600.0
1161,2024-09-15,2024-09,North,Wireless Mouse,123,25.0,3075.0
1162,2024-09-15,2024-09,North,4K Monitor 27in,23,350.0,8050.0
1163,2024-09-15,2024-09,North,Ergo Office Chair,21,180.0,3780.0
1164,2024-09-15,2024-09,North,Mechanical Keyboard,52,90.0,4680.0
1165,2024-09-15,2024-09,South,Laptop Pro 14,11,1200.0,13200.0
1166,2024-09-15,2024-09,South,Wireless Mouse,88,25.0,2200.0
1167,2024-09-15,2024-09,South,4K Monitor 27in,22,350.0,7700.0
1168,2024-09-15,2024-09,South,Ergo Office Chair,14,180.0,2520.0
1169,2024-09-15,2024-09,South,Mechanical Keyboard,34,90.0,3060.0
1170,2024-09-15,2024-09,East,Laptop Pro 14,16,1200.0,19200.0
1171,2024-09-15,2024-09,East,Wireless Mouse,110,25.0,2750.0
1172,2024-09-15,2024-09,East,4K Monitor 27in,23,350.0,8050.0
1173,2024-09-15,2024-09,East,Ergo Office Chair,18,180.0,3240.0
1174,2024-09-15,2024-09,East,Mechanical Keyboard,46,90.0,4140.0
1175,2024-09-15,2024-09,West,Laptop Pro 14,13,1200.0,15600.0
1176,2024-09-15,2024-09,West,Wireless Mouse,97,25.0,2425.0
1177,2024-09-15,2024-09,West,4K Monitor 27in,23,350.0,8050.0
1178,2024-09-15,2024-09,West,Ergo Office Chair,17,180.0,3060.0
1179,2024-09-15,2024-09,West,Mechanical Keyboard,43,90.0,3870.0
1180,2024-10-15,2024-10,North,Laptop Pro 14,23,1200.0,27600.0
1181,2024-10-15,2024-10,North,Wireless Mouse,176,25.0,4400.0
1182,2024-10-15,2024-10,North,4K Monitor 27in,41,350.0,14350.0
1183,2024-10-15,2024-10,North,Ergo Office Chair,23,180.0,4140.0
1184,2024-10-15,2024-10,North,Mechanical Keyboard,64,90.0,5760.0
1185,2024-10-15,2024-10,South,Laptop Pro 14,17,1200.0,20400.0
1186,2024-10-15,2024-10,South,Wireless Mouse,150,25.0,3750.0
1187,2024-10-15,2024-10,South,4K Monitor 27in,27,350.0,9450.0
1188,2024-10-15,2024-10,South,Ergo Office Chair,19,180.0,3420.0
1189,2024-10-15,2024-10,South,Mechanical Keyboard,52,90.0,4680.0
1190,2024-10-15,2024-10,East,Laptop Pro 14,19,1200.0,22800.0
1191,2024-10-15,2024-10,East,Wireless Mouse,141,25.0,3525.0
1192,2024-10-15,2024-10,East,4K Monitor 27in,30,350.0,10500.0
1193,2024-10-15,2024-10,East,Ergo Office Chair,27,180.0,4860.0
1194,2024-10-15,2024-10,East,Mechanical Keyboard,58,90.0,5220.0
1195,2024-10-15,2024-10,West,Laptop Pro 14,28,1200.0,33600.0
1196,2024-10-15,2024-10,West,Wireless Mouse,202,25.0,5050.0
1197,2024-10-15,2024-10,West,4K Monitor 27in,37,350.0,12950.0
1198,2024-10-15,2024-10,West,Ergo Office Chair,36,180.0,6480.0
1199,2024-10-15,2024-10,West,Mechanical Keyboard,86,90.0,7740.0
1200,2024-11-15,2024-11,North,Laptop Pro 14,25,1200.0,30000.0
1201,2024-11-15,2024-11,North,Wireless Mouse,191,25.0,4775.0
1202,2024-11-15,2024-11,North,4K Monitor 27in,40,350.0,14000.0
1203,2024-11-15,2024-11,North,Ergo Office Chair,24,180.0,4320.0
1204,2024-11-15,2024-11,North,Mechanical Keyboard,66,90.0,5940.0
1205,2024-11-15,2024-11,South,Laptop Pro 14,16,1200.0,19200.0
1206,2024-11-15,2024-11,South,Wireless Mouse,133,25.0,3325.0
1207,2024-11-15,2024-11,South,4K Monitor 27in,25,350.0,8750.0
1208,2024-11-15,2024-11,South,Ergo Office Chair,21,180.0,3780.0
1209,2024-11-15,2024-11,South,Mechanical Keyboard,62,90.0,5580.0
1210,2024-11-15,2024-11,East,Laptop Pro 14,18,1200.0,21600.0
1211,2024-11-15,2024-11,East,Wireless Mouse,166,25.0,4150.0
1212,2024-11-15,2024-11,East,4K Monitor 27in,32,350.0,11200.0
1213,2024-11-15,2024-11,East,Ergo Office Chair,23,180.0,4140.0
1214,2024-11-15,2024-11,East,Mechanical Keyboard,68,90.0,6120.0
1215,2024-11-15,2024-11,West,Laptop Pro 14,30,1200.0,36000.0
1216,2024-11-15,2024-11,West,Wireless Mouse,205,25.0,5125.0
1217,2024-11-15,2024-11,West,4K Monitor 27in,46,350.0,16100.0
1218,2024-11-15,2024-11,West,Ergo Office Chair,28,180.0,5040.0
1219,2024-11-15,2024-11,West,Mechanical Keyboard,74,90.0,6660.0
1220,2024-12-15,2024-12,North,Laptop Pro 14,25,1200.0,30000.0
1221,2024-12-15,2024-12,North,Wireless Mouse,175,25.0,4375.0
1222,2024-12-15,2024-12,North,4K Monitor 27in,37,350.0,12950.0
1223,2024-12-15,2024-12,North,Ergo Office Chair,29,180.0,5220.0
1224,2024-12-15,2024-12,North,Mechanical Keyboard,58,90.0,5220.0
1225,2024-12-15,2024-12,South,Laptop Pro 14,18,1200.0,21600.0
1226,2024-12-15,2024-12,South,Wireless Mouse,139,25.0,3475.0
1227,2024-12-15,2024-12,South,4K Monitor 27in,33,350.0,11550.0
1228,2024-12-15,2024-12,South,Ergo Office Chair,20,180.0,3600.0
1229,2024-12-15,2024-12,South,Mechanical Keyboard,62,90.0,5580.0
1230,2024-12-15,2024-12,East,Laptop Pro 14,17,1200.0,20400.0
1231,2024-12-15,2024-12,East,Wireless Mouse,140,25.0,3500.0
1232,2024-12-15,2024-12,East,4K Monitor 27in,34,350.0,11900.0
1233,2024-12-15,2024-12,East,Ergo Office Chair,26,180.0,4680.0
1234,2024-12-15,2024-12,East,Mechanical Keyboard,56,90.0,5040.0
1235,2024-12-15,2024-12,West,Laptop Pro 14,23,1200.0,27600.0
1236,2024-12-15,2024-12,West,Wireless Mouse,228,25.0,5700.0
1237,2024-12-15,2024-12,West,4K Monitor 27in,40,350.0,14000.0
1238,2024-12-15,2024-12,West,Ergo Office Chair,33,180.0,5940.0
1239,2024-12-15,2024-12,West,Mechanical Keyboard,83,90.0,7470.0
